"","state","county","lbw_births","births","est_samp","lb_samp","ub_samp","rank_est","lb_est","ub_est","model","int_width","stcnty_fips","per_rank","per_lb","per_ub","per_width"
"1","IA","Adair County",38,560,67.9017654161923,48.9295231885422,91.8026715037087,232,24,414.025,"fit1_overall",390.025,19001,52.5,5.3,93.8,88.5
"2","IA","Adair County",38,560,67.4737836969413,54.2779820803033,82.1889008006356,227,21.975,399,"fit2_overall",377.025,19001,51.4,4.9,90.4,85.5
"3","IA","Adair County",38,560,66.6113554270196,55.985004904912,78.3126016798258,210,31.975,368.025,"fit3_overall",336.05,19001,47.5,7.1,83.3,76.2
"4","IA","Adair County",38,560,68.978539116988,58.438928987846,80.8627665565456,247,76.875,385,"fit4_overall",308.125,19001,55.9,17.3,87.2,69.9
"5","IA","Adair County",38,560,68.7741306381821,59.4636081160331,80.5443966941484,248,85.975,380.075,"fit5_overall",294.1,19001,56.1,19.4,86.1,66.7
"2716","IA","Adair County",38,560,77.8580089081277,62.7757429387996,97.7910463408617,88,40,98.025,"fit1_within",58.025,19001,88.4,39.9,98.5,58.6
"2717","IA","Adair County",38,560,74.1673463578372,62.459826549878,88.1246295099403,89,31,99,"fit2_within",68,19001,89.4,30.8,99.5,68.7
"2718","IA","Adair County",38,560,70.4440228144909,60.8343061239689,81.4994729473979,84,22.975,98.025,"fit3_within",75.05,19001,84.3,22.7,98.5,75.8
"2719","IA","Adair County",38,560,71.186959636795,61.4090145204455,81.7418277756684,81,28.975,98,"fit4_within",69.025,19001,81.3,28.8,98.5,69.7
"2720","IA","Adair County",38,560,71.3449311370822,62.7277224674677,82.8774221775505,85,33.975,99,"fit5_within",65.025,19001,85.4,33.8,99.5,65.7
"4615","IA","Adair County",38,560,66.2235104211314,55.5466674747743,78.7650668688136,56,7.975,96,"fit2_state",88.025,19001,56.1,7.6,96.5,88.9
"4616","IA","Adair County",38,560,68.818042554774,59.6366862623885,81.3337688216958,69,21,98,"fit4_state",77,19001,69.2,20.7,98.5,77.8
"6","IA","Adams County",26,332,77.4832502991198,54.0505288554028,110.14238854438,324,56.975,439,"fit1_overall",382.025,19003,73.4,12.8,99.4,86.6
"7","IA","Adams County",26,332,71.4013222054184,56.291336435569,88.8822250997126,286,39.975,424.025,"fit2_overall",384.05,19003,64.7,9,96,87
"8","IA","Adams County",26,332,68.4655697920699,57.5062146396458,80.5946874153496,233,50,389,"fit3_overall",339,19003,52.7,11.2,88.1,76.9
"9","IA","Adams County",26,332,71.6704877465769,60.1530087176003,83.4603665778824,290,101,403,"fit4_overall",302,19003,65.6,22.8,91.3,68.5
"10","IA","Adams County",26,332,71.4184847410015,61.0080382279583,83.614060387428,288,114.95,402.05,"fit5_overall",287.1,19003,65.2,26,91.1,65.1
"2721","IA","Adams County",26,332,50.1753024611098,36.112101335669,68.3739417795781,9,1,59.025,"fit1_within",58.025,19003,8.6,0.5,59.1,58.6
"2722","IA","Adams County",26,332,59.2985582089103,48.338690904324,72.0048176377688,15,1,75,"fit2_within",74,19003,14.6,0.5,75.3,74.8
"2723","IA","Adams County",26,332,60.8378352703896,51.5219187818264,70.9726374578738,15,1,76.025,"fit3_within",75.025,19003,14.6,0.5,76.3,75.8
"2724","IA","Adams County",26,332,63.3876342275757,54.7811016130639,73.292605924594,36,5,85,"fit4_within",80,19003,35.9,4.5,85.4,80.9
"2725","IA","Adams County",26,332,63.8475327176095,54.875747125471,75.2342504557735,39,3.975,90,"fit5_within",86.025,19003,38.9,3.5,90.4,86.9
"4617","IA","Adams County",26,332,68.6744820344884,55.8245194504983,82.867682274117,65,6,98.025,"fit2_state",92.025,19003,65.2,5.6,98.5,92.9
"4618","IA","Adams County",26,332,68.5566251158554,58.4333704748264,80.0782502096809,66,16,98,"fit4_state",82,19003,66.2,15.7,98.5,82.8
"11","IA","Allamakee County",79,1314,59.2699930876201,48.1995355453587,73.9134429272136,127,22,303.075,"fit1_overall",281.075,19005,28.7,4.9,68.6,63.7
"12","IA","Allamakee County",79,1314,63.2282626872234,53.108215527502,74.7491522733742,141,16,337,"fit2_overall",321,19005,31.9,3.5,76.3,72.8
"13","IA","Allamakee County",79,1314,63.1669814365413,54.8632535894014,72.8828590822553,149,23,306,"fit3_overall",283,19005,33.7,5.1,69.3,64.2
"14","IA","Allamakee County",79,1314,60.0030326483743,52.5283800460944,68.3438968439745,95,12,239.025,"fit4_overall",227.025,19005,21.4,2.6,54.1,51.5
"15","IA","Allamakee County",79,1314,61.3220179868461,54.0167570101817,70.5275795381426,119,16.975,279,"fit5_overall",262.025,19005,26.9,3.7,63.2,59.5
"2726","IA","Allamakee County",79,1314,59.1471926665618,54.2492259534527,64.2886867366947,23,16,46,"fit1_within",30,19005,22.7,15.7,46,30.3
"2727","IA","Allamakee County",79,1314,59.9991536619129,55.4822892639005,65.3563475438864,11,8,45.025,"fit2_within",37.025,19005,10.6,7.6,45,37.4
"2728","IA","Allamakee County",79,1314,60.2190411643731,55.3416291218457,65.1124803738192,8,5,46,"fit3_within",41,19005,7.6,4.5,46,41.5
"2729","IA","Allamakee County",79,1314,60.1302467358703,55.6561420312713,64.9898451675777,11,5.975,45.025,"fit4_within",39.05,19005,10.6,5.5,45,39.5
"2730","IA","Allamakee County",79,1314,60.4406975367066,55.8799549645932,65.3830017079722,12,6,47.025,"fit5_within",41.025,19005,11.6,5.6,47,41.4
"4619","IA","Allamakee County",79,1314,62.8694685710388,53.9919692541444,72.7597903191998,28,4,81.025,"fit2_state",77.025,19005,27.8,3.5,81.3,77.8
"4620","IA","Allamakee County",79,1314,58.8764995448987,50.4325679921531,68.5710987157235,13,2,66,"fit4_state",64,19005,12.6,1.5,66.2,64.7
"16","IA","Appanoose County",80,1117,71.646998602667,56.9833847673944,87.1686395920788,276,88,401.025,"fit1_overall",313.025,19007,62.5,19.8,90.8,71
"17","IA","Appanoose County",80,1117,69.8753444876161,59.2434697164557,82.4708286007262,268,77.975,401,"fit2_overall",323.025,19007,60.7,17.6,90.8,73.2
"18","IA","Appanoose County",80,1117,68.1684045392717,58.585039628003,78.4916330570442,234,67.9,370,"fit3_overall",302.1,19007,52.9,15.3,83.8,68.5
"19","IA","Appanoose County",80,1117,69.2421992554483,59.9467143460207,79.0349029198783,252,98,376,"fit4_overall",278,19007,57,22.1,85.1,63
"20","IA","Appanoose County",80,1117,69.8314574770649,60.9775080487076,79.4159948313256,257,109.95,375,"fit5_overall",265.05,19007,58.2,24.8,84.9,60.1
"2731","IA","Appanoose County",80,1117,44.3870277016447,29.7147649489414,65.6002013347231,4,1,48,"fit1_within",47,19007,3.5,0.5,48,47.5
"2732","IA","Appanoose County",80,1117,58.1847472244922,47.3283988367791,72.2659640621771,10,1,76,"fit2_within",75,19007,9.6,0.5,76.3,75.8
"2733","IA","Appanoose County",80,1117,60.5573097986664,50.8733053284916,71.7214449005277,14,1,83,"fit3_within",82,19007,13.6,0.5,83.3,82.8
"2734","IA","Appanoose County",80,1117,55.7421064429976,47.3792376960044,64.7092462766722,2,1,43,"fit4_within",42,19007,1.5,0.5,42.9,42.4
"2735","IA","Appanoose County",80,1117,56.6084590007274,47.9855523136297,66.3940821974152,4,1,53,"fit5_within",52,19007,3.5,0.5,53,52.5
"4621","IA","Appanoose County",80,1117,68.4325065309849,59.0407554394014,78.9808672871953,67,16.975,96,"fit2_state",79.025,19007,67.2,16.6,96.5,79.9
"4622","IA","Appanoose County",80,1117,68.9295254850479,59.4764361107961,79.4242205686437,68,19,96,"fit4_state",77,19007,68.2,18.7,96.5,77.8
"21","IA","Audubon County",32,424,75.0054390768351,54.1929935767091,106.262697052674,312,56.975,438,"fit1_overall",381.025,19009,70.6,12.8,99.2,86.4
"22","IA","Audubon County",32,424,70.969851858987,57.1474041304529,87.009951846413,282,49,419.025,"fit2_overall",370.025,19009,63.8,11,94.9,83.9
"23","IA","Audubon County",32,424,67.5407299055783,56.679241569662,79.7061004920982,227,42.975,379.05,"fit3_overall",336.075,19009,51.4,9.6,85.8,76.2
"24","IA","Audubon County",32,424,69.9366938300638,60.1721259634065,81.6311429393614,263,103,390,"fit4_overall",287,19009,59.5,23.2,88.3,65.1
"25","IA","Audubon County",32,424,69.396284858103,58.6091713566374,81.1110212463826,251,73.95,388,"fit5_overall",314.05,19009,56.8,16.7,87.9,71.2
"2736","IA","Audubon County",32,424,69.6324852283786,65.9131285917631,73.9077042280421,62,49,76,"fit1_within",27,19009,62.1,49,76.3,27.3
"2737","IA","Audubon County",32,424,69.7570677079833,65.9146057572276,73.7114938271197,67,46,81.025,"fit2_within",35.025,19009,67.2,46,81.3,35.3
"2738","IA","Audubon County",32,424,69.2155524029609,65.7590130642438,72.8276319709898,81,48,86,"fit3_within",38,19009,81.3,48,86.4,38.4
"2739","IA","Audubon County",32,424,69.5417428926057,65.6805831713995,73.1502335230714,75,47,85,"fit4_within",38,19009,75.3,47,85.4,38.4
"2740","IA","Audubon County",32,424,69.4221902152831,65.9787699759174,73.0478057225472,73,50,87,"fit5_within",37,19009,73.2,50,87.4,37.4
"4623","IA","Audubon County",32,424,68.189961036717,56.7238419995107,81.6661595231726,64,10,98,"fit2_state",88,19009,64.1,9.6,98.5,88.9
"4624","IA","Audubon County",32,424,68.1801896649191,59.0585691724228,79.8783918359625,65,19,97,"fit4_state",78,19009,65.2,18.7,97.5,78.8
"26","IA","Benton County",129,2022,64.032804685208,54.660617123054,75.1257431019941,178,63,320,"fit1_overall",257,19011,40.2,14.2,72.4,58.2
"27","IA","Benton County",129,2022,64.8878535013223,56.7693956106112,75.3847420395063,184,43,336.025,"fit2_overall",293.025,19011,41.6,9.6,76.1,66.5
"28","IA","Benton County",129,2022,64.7024266285191,57.1432667977075,73.726355204031,185,47,317.075,"fit3_overall",270.075,19011,41.8,10.5,71.8,61.3
"29","IA","Benton County",129,2022,64.5594653817409,57.45686263617,73.0160527966548,181,58,310.1,"fit4_overall",252.1,19011,40.9,13,70.2,57.2
"30","IA","Benton County",129,2022,64.468612656965,57.0119460537412,72.7489949379499,182,50,305.05,"fit5_overall",255.05,19011,41.2,11.2,69.1,57.9
"2741","IA","Benton County",129,2022,55.2593116161602,44.7435991830028,67.1851225377536,13,4,55,"fit1_within",51,19011,12.6,3.5,55.1,51.6
"2742","IA","Benton County",129,2022,58.9424835922412,50.5496288138366,68.6819815846033,9,2,60.025,"fit2_within",58.025,19011,8.6,1.5,60.1,58.6
"2743","IA","Benton County",129,2022,60.3779657365453,51.9560346463193,68.9720527683864,10,2,66,"fit3_within",64,19011,9.6,1.5,66.2,64.7
"2744","IA","Benton County",129,2022,62.2144908764106,54.8048533534415,70.8544081063989,28,4,78.025,"fit4_within",74.025,19011,27.8,3.5,78.3,74.8
"2745","IA","Benton County",129,2022,62.3800206505631,54.7390615726677,70.8919964362431,29,4,76,"fit5_within",72,19011,28.8,3.5,76.3,72.8
"4625","IA","Benton County",129,2022,64.463307218585,56.5707730427255,73.2081500611297,45,9.975,86,"fit2_state",76.025,19011,44.9,9.6,86.4,76.8
"4626","IA","Benton County",129,2022,66.032615187903,58.6187952623624,74.2984303703969,56,16,87,"fit4_state",71,19011,56.1,15.7,87.4,71.7
"31","IA","Black Hawk County",952,12072,78.6910082728725,74.3712082039176,83.8014524387295,372,309,385.025,"fit1_overall",76.025,19013,84.2,70,87.2,17.2
"32","IA","Black Hawk County",952,12072,78.4614273562474,73.8542907851335,82.8675568693481,395,319,405,"fit2_overall",86,19013,89.5,72.2,91.7,19.5
"33","IA","Black Hawk County",952,12072,77.4683616596893,73.0627776883605,81.7466871857379,370,308,397.025,"fit3_overall",89.025,19013,83.8,69.7,89.9,20.2
"34","IA","Black Hawk County",952,12072,77.0980216186738,72.7921260891386,81.5909239937784,369,306,392,"fit4_overall",86,19013,83.6,69.3,88.8,19.5
"35","IA","Black Hawk County",952,12072,76.8756106412048,72.3474444734187,81.5197039862625,367,298.975,392,"fit5_overall",93.025,19013,83.1,67.7,88.8,21.1
"2746","IA","Black Hawk County",952,12072,68.5654456595339,61.1314354112075,77.0686641493127,60,36,83,"fit1_within",47,19013,60.1,35.9,83.3,47.4
"2747","IA","Black Hawk County",952,12072,68.6955638902526,61.1857224301297,76.9848062488997,62,26,89,"fit2_within",63,19013,62.1,25.8,89.4,63.6
"2748","IA","Black Hawk County",952,12072,67.9486050390289,61.3812587616705,75.1827314070198,67,24,92,"fit3_within",68,19013,67.2,23.7,92.4,68.7
"2749","IA","Black Hawk County",952,12072,68.6361258769887,61.7398603638568,75.6950097225868,65,28,92,"fit4_within",64,19013,65.2,27.8,92.4,64.6
"2750","IA","Black Hawk County",952,12072,68.4416215129252,61.9856615385725,75.3225496565368,67,30,91,"fit5_within",61,19013,67.2,29.8,91.4,61.6
"4627","IA","Black Hawk County",952,12072,77.6646536433571,73.1606868232594,82.5329321067132,99,84,99,"fit2_state",15,19013,99.5,84.3,99.5,15.2
"4628","IA","Black Hawk County",952,12072,77.0579828527844,72.6937125084254,81.8494791622784,99,83,99,"fit4_state",16,19013,99.5,83.3,99.5,16.2
"36","IA","Boone County",141,2177,64.8651936412643,55.3587001957864,76.7227763296782,191,71,329.025,"fit1_overall",258.025,19015,43.2,16,74.5,58.5
"37","IA","Boone County",141,2177,65.399887357836,56.6204878960534,75.1025840105182,188,40,335,"fit2_overall",295,19015,42.5,9,75.9,66.9
"38","IA","Boone County",141,2177,64.7540968424525,57.6612957208893,73.7445943507702,188,52,316.025,"fit3_overall",264.025,19015,42.5,11.7,71.5,59.8
"39","IA","Boone County",141,2177,66.2572977942465,58.8351957331674,74.7106870051859,212,74,329.025,"fit4_overall",255.025,19015,48,16.7,74.5,57.8
"40","IA","Boone County",141,2177,65.5637317544988,58.424757243705,73.8447705083592,207,72,320.025,"fit5_overall",248.025,19015,46.8,16.2,72.5,56.3
"2751","IA","Boone County",141,2177,57.3995337982305,46.7125588858389,70.1996612334679,20,6,66,"fit1_within",60,19015,19.7,5.6,66.2,60.6
"2752","IA","Boone County",141,2177,61.4732613946173,51.8370157122483,71.6084193373788,19,4,72,"fit2_within",68,19015,18.7,3.5,72.2,68.7
"2753","IA","Boone County",141,2177,62.0185452130836,53.3810337541049,71.1175127456452,20,3,79,"fit3_within",76,19015,19.7,2.5,79.3,76.8
"2754","IA","Boone County",141,2177,62.4498079211531,54.1165298648618,70.8226508165328,31,4,75.025,"fit4_within",71.025,19015,30.8,3.5,75.3,71.8
"2755","IA","Boone County",141,2177,62.6482472714693,54.4536270666995,71.3385650472686,31,3,76.025,"fit5_within",73.025,19015,30.8,2.5,76.3,73.8
"4629","IA","Boone County",141,2177,65.0468739932182,56.9457357840424,73.9839531223171,48,10,87,"fit2_state",77,19015,48,9.6,87.4,77.8
"4630","IA","Boone County",141,2177,65.9730427087625,58.9739970562299,74.211326645392,57,18.975,88.025,"fit4_state",69.05,19015,57.1,18.7,88.4,69.7
"41","IA","Bremer County",129,1820,70.9474519114515,60.5161518392762,82.733804939211,274,130.975,380.025,"fit1_overall",249.05,19017,62,29.6,86.1,56.5
"42","IA","Bremer County",129,1820,69.9755305758564,60.6905843754501,81.1742358958476,271,98.925,390.05,"fit2_overall",291.125,19017,61.3,22.3,88.3,66
"43","IA","Bremer County",129,1820,68.3215675448292,59.9155771328263,77.7873748777338,239,92.875,364,"fit3_overall",271.125,19017,54.1,20.9,82.4,61.5
"44","IA","Bremer County",129,1820,67.697091620302,59.9232957620788,75.3929774347286,230,94,340.175,"fit4_overall",246.175,19017,52,21.2,77,55.8
"45","IA","Bremer County",129,1820,67.3155497431217,59.3366443685583,76.2591930634762,232,81,349,"fit5_overall",268,19017,52.5,18.3,79,60.7
"2756","IA","Bremer County",129,1820,43.5719966910301,30.8376896073785,59.7147399581842,3,1,30,"fit1_within",29,19017,2.5,0.5,29.8,29.3
"2757","IA","Bremer County",129,1820,54.700768190061,44.9331598794369,66.4075346963599,4,1,50,"fit2_within",49,19017,3.5,0.5,50,49.5
"2758","IA","Bremer County",129,1820,57.6012260012454,49.7318070230356,67.6516593749817,5,1,61,"fit3_within",60,19017,4.5,0.5,61.1,60.6
"2759","IA","Bremer County",129,1820,56.5137486418173,48.1680678933953,65.5935549921266,4,1,50,"fit4_within",49,19017,3.5,0.5,50,49.5
"2760","IA","Bremer County",129,1820,56.3043122336276,48.8093746957522,65.3467826030454,3,1,45.025,"fit5_within",44.025,19017,2.5,0.5,45,44.5
"4631","IA","Bremer County",129,1820,68.4473195446679,60.2082572584314,78.4851352396845,70,22,95,"fit2_state",73,19017,70.2,21.7,95.5,73.8
"4632","IA","Bremer County",129,1820,67.2608634698578,59.561968808681,76.136912978267,60,20.975,93,"fit4_state",72.025,19017,60.1,20.7,93.4,72.7
"46","IA","Buchanan County",120,2108,57.0839312049373,47.5805204818218,67.8156250075259,75,20,232.025,"fit1_overall",212.025,19019,16.9,4.4,52.5,48.1
"47","IA","Buchanan County",120,2108,59.6827793026187,51.5612012480975,68.7567552214568,62,9,242.025,"fit2_overall",233.025,19019,13.9,1.9,54.8,52.9
"48","IA","Buchanan County",120,2108,60.5111889953699,53.6746244780005,68.9708858105587,98,15,244,"fit3_overall",229,19019,22.1,3.3,55.2,51.9
"49","IA","Buchanan County",120,2108,60.2830286078925,53.6961889162241,68.025113120721,98,18.975,237,"fit4_overall",218.025,19019,22.1,4.2,53.6,49.4
"50","IA","Buchanan County",120,2108,60.4500013892045,53.9111584210947,68.5156593623388,100,19,246.075,"fit5_overall",227.075,19019,22.6,4.2,55.7,51.5
"2761","IA","Buchanan County",120,2108,82.7882929185219,67.9667160238614,101.64007740327,97,55,99,"fit1_within",44,19019,97.5,55.1,99.5,44.4
"2762","IA","Buchanan County",120,2108,76.9571779782418,64.9174517530934,90.4734025830668,93,41.975,99,"fit2_within",57.025,19019,93.4,41.9,99.5,57.6
"2763","IA","Buchanan County",120,2108,72.4536996664376,61.9688196578672,83.8520998355932,90,30,99,"fit3_within",69,19019,90.4,29.8,99.5,69.7
"2764","IA","Buchanan County",120,2108,73.4041606012996,63.7727369085114,85.1000663323413,92,38,99,"fit4_within",61,19019,92.4,37.9,99.5,61.6
"2765","IA","Buchanan County",120,2108,74.0845794841454,64.6314659417535,83.9567852657858,92,43.975,99,"fit5_within",55.025,19019,92.4,43.9,99.5,55.6
"4633","IA","Buchanan County",120,2108,60.2170545507133,52.7932442548918,69.0730233678043,14,3,69,"fit2_state",66,19019,13.6,2.5,69.2,66.7
"4634","IA","Buchanan County",120,2108,62.1414125268198,54.4770539687842,69.378756370085,26,6,69.025,"fit4_state",63.025,19019,25.8,5.6,69.2,63.6
"51","IA","Buena Vista County",130,2077,62.8617919570649,53.1819515552205,73.4687863697459,162,52.975,300,"fit1_overall",247.025,19021,36.6,11.9,67.9,56
"52","IA","Buena Vista County",130,2077,64.304787224667,56.1943110482503,73.6316257398594,167,38.975,319.025,"fit2_overall",280.05,19021,37.8,8.7,72.2,63.5
"53","IA","Buena Vista County",130,2077,63.8562268192082,56.2693137672491,72.0971204554565,158,34.975,296.025,"fit3_overall",261.05,19021,35.7,7.8,67,59.2
"54","IA","Buena Vista County",130,2077,63.2924999512483,55.6495387197017,71.3477368657801,159,36.95,287,"fit4_overall",250.05,19021,35.9,8.3,65,56.7
"55","IA","Buena Vista County",130,2077,63.0209850851244,55.6000939645267,70.0967632075827,152,32,268.025,"fit5_overall",236.025,19021,34.4,7.1,60.7,53.6
"2766","IA","Buena Vista County",130,2077,74.5971666387773,59.2840997276046,93.526142641699,80,30,98,"fit1_within",68,19021,80.3,29.8,98.5,68.7
"2767","IA","Buena Vista County",130,2077,72.0709992784197,58.691698285278,87.2378011011158,76,18,98.025,"fit2_within",80.025,19021,76.3,17.7,98.5,80.8
"2768","IA","Buena Vista County",130,2077,68.9113821623877,58.6138487878979,80.2752251857571,76,14.975,98,"fit3_within",83.025,19021,76.3,14.6,98.5,83.9
"2769","IA","Buena Vista County",130,2077,70.5387314179301,60.799148884324,81.7178241203607,78,22,98,"fit4_within",76,19021,78.3,21.7,98.5,76.8
"2770","IA","Buena Vista County",130,2077,69.8824929259303,60.6252906354863,81.3857287994912,74,22,98,"fit5_within",76,19021,74.2,21.7,98.5,76.8
"4635","IA","Buena Vista County",130,2077,63.5601239453136,55.6336654796904,71.9511380999435,35,7,81,"fit2_state",74,19021,34.8,6.6,81.3,74.7
"4636","IA","Buena Vista County",130,2077,61.9548993835942,54.4725394583958,69.3784585228502,25,6.975,70,"fit4_state",63.025,19021,24.7,6.5,70.2,63.7
"56","IA","Butler County",69,1198,57.3807382811626,46.1358737516855,71.6655360491617,90,16,277.075,"fit1_overall",261.075,19023,20.3,3.5,62.7,59.2
"57","IA","Butler County",69,1198,61.4814814479394,51.3175139732578,72.3230622920093,100,7.975,300,"fit2_overall",292.025,19023,22.6,1.7,67.9,66.2
"58","IA","Butler County",69,1198,62.3150317204141,53.7201940951473,71.9143231652046,132,15.95,285.15,"fit3_overall",269.2,19023,29.8,3.5,64.5,61
"59","IA","Butler County",69,1198,62.0435804593945,54.2118086478772,70.8824405391855,133,21,272.025,"fit4_overall",251.025,19023,30,4.6,61.6,57
"60","IA","Butler County",69,1198,61.4798483317622,53.1745837185563,69.5317624730826,118,13.975,259,"fit5_overall",245.025,19023,26.6,3.1,58.6,55.5
"2771","IA","Butler County",69,1198,72.9215300504841,65.0662170661258,81.5558741320318,76,48,90,"fit1_within",42,19023,76.3,48,90.4,42.4
"2772","IA","Butler County",69,1198,72.509075441048,65.4162670831628,80.2416340959118,84,43,94,"fit2_within",51,19023,84.3,42.9,94.4,51.5
"2773","IA","Butler County",69,1198,71.3890013108015,65.3936844640506,77.7865430307739,88,45,97,"fit3_within",52,19023,88.4,44.9,97.5,52.6
"2774","IA","Butler County",69,1198,71.5420923044643,65.6315815473761,78.223784145195,89,47.975,96,"fit4_within",48.025,19023,89.4,48,96.5,48.5
"2775","IA","Butler County",69,1198,71.8157989242668,64.7727148436443,78.7877912897432,88,46,97,"fit5_within",51,19023,88.4,46,97.5,51.5
"4637","IA","Butler County",69,1198,61.3418073408103,53.1068925282941,71.8521681751179,18,3,79,"fit2_state",76,19023,17.7,2.5,79.3,76.8
"4638","IA","Butler County",69,1198,63.6898184758399,55.7864203369797,72.3567446414328,37,8,84,"fit4_state",76,19023,36.9,7.6,84.3,76.7
"61","IA","Calhoun County",50,763,65.2051369703119,49.5808177250454,87.7169413161088,208,28,402.025,"fit1_overall",374.025,19025,47.1,6.2,91,84.8
"62","IA","Calhoun County",50,763,66.7301457504625,54.905229248736,80.4267740333035,217,25,386.075,"fit2_overall",361.075,19025,49.1,5.6,87.4,81.8
"63","IA","Calhoun County",50,763,65.6940997485407,56.1830257993677,76.8942200950183,203,33.975,349.05,"fit3_overall",315.075,19025,45.9,7.6,79,71.4
"64","IA","Calhoun County",50,763,65.9130410907194,57.4842362520519,76.6811570935204,208,55.975,353.075,"fit4_overall",297.1,19025,47.1,12.6,79.9,67.3
"65","IA","Calhoun County",50,763,65.4365873326676,55.855845196906,75.1380469032901,198,34.975,334,"fit5_overall",299.025,19025,44.8,7.8,75.6,67.8
"2776","IA","Calhoun County",50,763,49.0069166845366,36.5311839163659,62.8992612027016,6,1,40.025,"fit1_within",39.025,19025,5.6,0.5,39.9,39.4
"2777","IA","Calhoun County",50,763,56.5927809644978,46.9036530150575,68.65644662731,6,1,59,"fit2_within",58,19025,5.6,0.5,59.1,58.6
"2778","IA","Calhoun County",50,763,58.8797500319717,51.1832919337805,68.8511884189703,6,1,67,"fit3_within",66,19025,5.6,0.5,67.2,66.7
"2779","IA","Calhoun County",50,763,60.9821479054029,52.4800177984558,70.361914640396,17,2,72,"fit4_within",70,19025,16.7,1.5,72.2,70.7
"2780","IA","Calhoun County",50,763,61.3909159803744,53.2905872091436,69.8855865503054,20,3,72.025,"fit5_within",69.025,19025,19.7,2.5,72.2,69.7
"4639","IA","Calhoun County",50,763,65.1818386650748,55.4421480138408,77.309916618125,51,7,95,"fit2_state",88,19025,51,6.6,95.5,88.9
"4640","IA","Calhoun County",50,763,64.7174375564082,55.4957719466172,75.1640545818659,44,9,90,"fit4_state",81,19025,43.9,8.6,90.4,81.8
"66","IA","Carroll County",104,1895,54.9809653641715,45.313613611106,66.0415373621687,43,15,211.025,"fit1_overall",196.025,19027,9.6,3.3,47.7,44.4
"67","IA","Carroll County",104,1895,58.5517665313662,49.9467131901948,66.9953072176717,42,4.975,216.05,"fit2_overall",211.075,19027,9.4,1,48.9,47.9
